54	0
58	0
63	0
64	17
66	2
66	6
66	14
67	11
68	4
68	7
68	9
68	12
68	13
68	16
68	19
69	0
69	1
69	3
69	5
69	10
69	14
69	15
69	18
70	2
70	4
70	6
70	7
70	8
70	9
70	11
70	12
70	13
70	16
70	17
70	19
71	1
71	2
71	3
71	4
71	5
71	7
71	9
71	10
71	11
71	12
71	13
71	14
71	15
71	16
71	18
72	1
72	2
72	3
72	4
72	5
72	6
72	7
72	8
72	9
72	10
72	11
72	12
72	13
72	14
72	15
72	16
72	17
72	18
72	19
73	1
73	2
73	3
73	4
73	5
73	6
73	7
73	8
73	9
73	10
73	11
73	12
73	13
73	14
73	15
73	16
73	17
73	18
73	19
74	1
74	2
74	3
74	4
74	5
74	6
74	7
74	8
74	9
74	10
74	11
74	12
74	13
74	14
74	15
74	16
74	17
74	18
74	19
75	1
75	2
75	3
75	4
75	5
75	6
75	7
75	8
75	9
75	10
75	11
75	12
75	13
75	14
75	15
75	16
75	17
75	18
75	19
76	1
76	2
76	3
76	4
76	5
76	6
76	7
76	8
76	9
76	10
76	11
76	12
76	13
76	14
76	15
76	16
76	17
76	18
76	19
77	0
77	1
77	2
77	3
77	4
77	5
77	6
77	7
77	8
77	9
77	10
77	11
77	12
77	13
77	14
77	15
77	16
77	17
77	18
77	19
78	1
78	2
78	3
78	4
78	5
78	6
78	7
78	8
78	9
78	10
78	11
78	12
78	13
78	14
78	15
78	16
78	17
78	18
78	19
79	1
79	2
79	3
79	4
79	5
79	6
79	7
79	8
79	9
79	10
79	11
79	12
79	13
79	14
79	15
79	16
79	17
79	18
79	19
80	1
80	2
80	3
80	4
80	5
80	6
80	7
80	8
80	9
80	10
80	11
80	12
80	13
80	14
80	15
80	16
80	17
80	18
80	19
81	1
81	2
81	3
81	4
81	5
81	6
81	7
81	8
81	9
81	10
81	11
81	12
81	13
81	14
81	15
81	16
81	18
81	19
82	1
82	2
82	3
82	4
82	5
82	7
82	9
82	10
82	11
82	12
82	13
82	14
82	15
82	16
82	17
82	18
83	1
83	2
83	6
83	8
83	9
83	10
83	12
83	13
83	14
83	15
83	19
84	3
84	4
84	5
84	7
84	11
84	16
84	17
84	18
85	1
85	2
85	10
85	12
85	13
85	14
85	15
86	6
86	8
86	9
86	19
90	0
111	0
133	0
154	0
176	0
199	0
220	0
242	0
264	0
286	0
